"","x"
"150",255782.62799399
"151",227192.166067605
"152",336015.174406507
"153",253929.262675944
"154",1035760.14926981
"155",534845.842730334
"156",314262.86702015
"157",583416.429209257
"158",501850.707490693
"159",657011.498959085
"160",882364.430236798
"161",1355276.13523029
"162",782180.285063545
"163",331936.761027731
"164",1169605.23048098
"165",424793.601952303
"166",548335.143298552
"167",243215.923264724
"168",525901.186863145
"169",244365.939379878
"170",174116.141556225
"171",415862.460029425
"172",662498.755395026
"173",376667.015433241
"174",334850.9821196
"175",290469.220214619
"176",285106.499620354
"177",387305.696221712
"178",290357.198527248
"179",474658.164601328
"180",125542.785518314
"181",609584.559085548
"182",162696.262821225
"183",1309578.98329425
"184",764507.45820938
"185",810524.656680489
"186",1397969.47631119
"187",280689.812099194
"188",488076.58171681
"189",222616.498267372
"190",460775.75394085
"191",195443.780930332
"192",513864.15800178
"193",206228.426071921
"194",291749.715746943
"195",311789.440817196
"196",400263.539530264
"197",184704.78398994
"198",144490.355559349
"199",446420.071870698
"200",135727.953745493
"201",338383.874163058
"202",222521.186374634
"203",132761.402375578
"204",277355.005037013
"205",513317.582783939
"206",260312.242801756
"207",359627.050748437
"208",217600.076725839
"209",547572.071867425
"210",262326.266338189
"211",99117.2120054529
"212",639729.710576901
"213",462819.961346655
"214",668164.061598199
"215",804362.002736247
"216",260465.138435542
"217",735171.596478766
"218",245771.840351848
"219",268775.521805075
"220",293318.60130573
"221",256751.705485916
"222",761978.636465947
"223",176799.256679243
"224",110462.406817031
"225",387330.979628501
"226",52854.6255064841
"227",996530.33402853
"228",568638.164176627
"229",434554.170406342
"230",818060.019503655
"231",316462.049547034
"232",300472.280120708
"233",404523.069916015
"234",457929.825508339
"235",56821.2203104286
"236",442046.764595119
"237",514231.060773643
"238",566412.082871123
"239",395242.833621636
"240",812179.865719971
"241",393061.953023378
"242",439445.017675782
"243",508570.748836767
"244",362237.571634609
"245",710786.086030894
"246",661514.426964175
"247",299053.737140316
"248",191891.608263687
"249",382372.703593148
"250",926269.555172687
"251",890762.206668051
"252",431139.978369358
"253",405676.784722898
"254",410931.636853792
"255",232099.523094334
"256",443681.307634041
"257",126687.288811482
"258",565805.752615513
"259",523001.672478159
"260",335982.962569458
"261",1049120.10425254
"262",627700.784880388
"263",265132.60810023
"264",572072.302195402
"265",591844.240057357
"266",584908.644105876
"267",535099.238859645
"268",513978.304166916
"269",481980.040453146
"270",603950.041596012
"271",779993.517463237
"272",374004.649162227
"273",115887.530697365
"274",981838.776398584
"275",773791.180213208
"276",505586.634999305
"277",374436.08625788
"278",231041.583047435
"279",653966.152529163
"280",375882.607391942
"281",902778.002143141
"282",309027.358718615
"283",655971.670184138
"284",259153.240389106
"285",837916.675192362
"286",589327.506656931
"287",669700.157746693
"288",1415821.17351387
"289",215335.030115693
"290",570208.332492419
"291",187225.496074328
"292",346633.508207891
"293",478482.112809635
"294",1380481.70093036
"295",727692.711572269
"296",240851.037295488
"297",798986.518724234
"298",197602.964071897
"299",605862.781539848
"300",996063.219263605
"301",307743.265256751
"302",374893.668424068
"303",831398.260202298
"304",817640.408151531
"305",492695.465593185
"306",1254039.68190751
"307",406618.116485949
"308",322450.191372822
"309",478497.862305493
"310",520340.38690272
"311",479521.133269057
"312",848333.511532453
"313",56979.5631936913
"314",550236.740576912
"315",861171.620652506
"316",1623835.32509781
"317",407927.045149283
"318",259815.765404477
"319",949976.586350829
"320",465656.005401088
"321",652307.791605776
"322",608400.852654709
"323",284001.675159683
"324",258596.19173218
"325",607510.196121978
"326",300071.493499467
"327",583260.712693185
"328",479513.265666576
"329",282558.397720981
"330",920454.027260839
"331",362865.000270923
"332",467159.164218247
"333",1083866.18304178
"334",494290.348137524
"335",431523.077781297
"336",273903.445499586
"337",846242.273175714
"338",646321.525417693
"339",403666.736070746
"340",584090.967187427
"341",230716.23133165
"342",398028.006516622
"343",285481.964605054
"344",125213.721511703
"345",259391.515939837
"346",354971.859288113
"347",227818.486907875
"348",353320.865924419
"349",545513.163934397
"350",456523.833651928
"351",281244.715256486
"352",414812.779926553
"353",328408.698705316
"354",563131.379375784
"355",341392.462735243
"356",401726.947195164
"357",447069.095739874
"358",398195.655047193
"359",245900.965604897
"360",376776.369683977
"361",433804.798100226
"362",1087957.28706877
"363",1393855.47366149
"364",477771.881370732
"365",169406.847963295
"366",865788.865372053
"367",441935.019769913
"368",331872.860694712
"369",617375.607856278
"370",536814.178996121
"371",329388.332386303
"372",420349.737703825
"373",501488.796871809
"374",691684.180672323
"375",464112.569687487
"376",1337722.00274504
"377",131475.100634394
"378",645900.762240248
"379",467713.075134477
"380",459603.034418062
"381",502386.418100243
"382",758357.120508055
"383",376943.938624193
"384",376943.938624193
"385",403647.103609567
"386",555014.219710094
"387",602473.53314886
"388",938335.979109486
"389",372094.767593074
"390",694361.292567045
"391",1378635.49100191
"392",579019.728195298
"393",752828.623493597
"394",1092385.82570676
"395",608468.450579071
"396",369158.939901996
"397",156940.277300979
"398",472924.484870495
"399",725871.640368125
"400",423505.281643198
"401",897680.954356961
"402",112672.975237337
"403",581873.166798043
"404",84293.856717975
"405",219202.104460168
"406",757081.011634952
"407",194959.496989766
"408",936656.19874282
"409",653220.354799397
"410",296693.239140575
"411",291709.893529579
"412",747765.060573827
"413",322993.331492593
"414",97885.287210693
"415",1184420.39623117
"416",317385.915255444
"417",274310.016251297
"418",239680.45500179
"419",304469.602961837
"420",108883.114246405
"421",419580.724367963
"422",972435.333229784
"423",273457.442220324
"424",844722.363944476
"425",648718.63218289
"426",545647.528531931
"427",1044822.19766552
"428",1244567.0797511
"429",864691.866961317
"430",670728.95461493
"431",797361.946756508
"432",417070.806503698
"433",734669.42158459
"434",684565.477342656
"435",258206.680265628
"436",772898.073313039
"437",373478.758368363
"438",1092562.93553031
"439",504309.31703038
"440",238990.169616276
"441",551439.535759048
"442",345741.593929806
"443",664744.205101445
"444",1227053.40306108
"445",227620.022261059
"446",379783.469674785
"447",279921.054456271
"448",502236.402897146
"449",221325.47137686
"450",693056.281040339
"451",979898.5204945
"452",286363.428318111
"453",523768.849264007
"454",455657.55499522
"455",588002.798245876
"456",488768.464380087
"457",145948.709994629
"458",736737.559156621
"459",918752.695389354
"460",201082.183294968
"461",1107229.36860231
"462",162554.045038923
"463",1285414.17728714
"464",696303.066643732
"465",456651.865624174
"466",631706.471848734
"467",324443.221015945
"468",237934.478596368
"469",95954.788819191
"470",870417.889991606
"471",837721.002784497
"472",216351.139419788
"473",244205.250089584
"474",816989.19014351
"475",401562.863383095
"476",491364.788472865
"477",403531.936261591
"478",519655.455328229
"479",311993.20460618
"480",501724.863997368
"481",231576.408574068
"482",280355.624000885
"483",537359.699291905
"484",986665.289667256
"485",475576.496492787
"486",588088.803801341
"487",548764.280711149
"488",1112500.96695642
"489",261222.557078574
"490",190420.254283751
"491",484199.180307051
"492",510898.080166325
"493",40187.6742253685
"494",292522.232218749
"495",1523105.98947808
"496",261850.095354387
"497",399624.602059207
"498",1327521.72704503
"499",924781.670569996
"500",419091.029116777
"501",153234.497488254
"502",247069.108781928
"503",364130.616139202
"504",399876.802011676
"505",250392.173370121
"506",207224.906778613
"507",58100.6039247468
"508",547903.577509904
"509",940835.964962987
"510",653134.800522222
"511",339597.280275933
"512",207673.637895077
"513",572422.286269563
"514",809476.092046567
"515",1115215.63430658
"516",1289105.20329065
"517",1289105.20329065
"518",257042.776631662
"519",84785.4798971707
"520",398366.052296585
"521",501058.630046045
"522",410990.85278872
"523",630871.538554699
"524",605786.280349713
"525",486333.723827294
"526",229285.470175171
"527",443637.179949061
"528",301829.19704286
"529",1094118.4769637
"530",590673.51483227
"531",431158.421919953
"532",1159148.66791958
"533",905821.549082047
"534",842409.055583993
"535",671975.617264967
"536",481926.565456721
"537",995344.559417979
"538",668694.540866871
"539",289535.0930581
"540",404456.520475009
"541",554807.672727136
"542",335611.703041015
"543",424741.182708871
"544",721386.172498769
"545",1082880.66928341
"546",275217.807179823
"547",408221.918335586
"548",228208.893701255
"549",916817.676118878
"550",633659.857058913
"551",128970.847667234
"552",582680.420675696
"553",716646.820937463
"554",852387.127977896
"555",598405.439086456
"556",306418.198490311
"557",232915.297461387
"558",532509.351150342
"559",150027.536914052
"560",788216.919185141
"561",624921.020920035
"562",465675.647679756
"563",217093.226092189
"564",815031.018599598
"565",145943.677806991
"566",465624.065178554
"567",719056.08336488
"568",463778.450772272
"569",1268490.32356009
"570",328702.477647697
"571",357494.164099173
"572",691930.504810868
"573",286476.163275877
"574",477907.976057361
"575",259714.295943745
"576",157752.314946034
"577",570477.812741552
"578",363327.951705433
"579",982864.912240138
"580",366960.591108449
"581",580696.300297156
"582",317442.102972483
"583",733733.875829981
"584",538282.720848761
"585",529163.961299417
"586",408682.79997965
"587",315158.864649534
"588",887030.136458047
"589",263821.084562627
"590",203621.970399761
"591",5248.57732044064
"592",41243.1926861712
"593",554240.933858359
"594",477112.16678835
"595",343585.453539459
"596",1468624.13386806
"597",430256.745253329
"598",702066.994281259
"599",597068.018107421
"600",708732.146607282
"601",756339.153192498
"602",880466.885599346
"603",568039.951392067
"604",300158.367305915
"605",470822.06932584
"606",816151.363125879
"607",77248.3488159264
"608",448908.171671374
"609",360316.234819894
"610",567710.70338738
"611",1209205.7252394
"612",624392.239053233
"613",617613.552687175
"614",282685.004565294
"615",346322.237155606
"616",249045.62884573
"617",1036581.07471272
"618",149882.454773496
"619",405786.705750633
"620",484967.680972156
"621",858970.178030679
"622",254423.783330617
"623",483058.49210694
"624",191919.089424013
"625",514069.448949034
"626",658719.333672421
"627",343764.672473421
"628",1105815.49042233
"629",549665.348132771
"630",492719.018396719
"631",494119.013053005
"632",307920.772185469
"633",555895.844158217
"634",90566.0884153096
"635",428130.788621807
"636",549860.945007613
"637",504987.32324236
"638",395540.961348226
"639",72353.5093069183
"640",420952.037441947
"641",291264.94577402
"642",471091.739258069
"643",474757.819140141
"644",395247.806300671
"645",393078.789076911
"646",1046971.50296582
"647",392822.61809449
"648",513081.184655761
"649",683836.985814402
"650",703564.651561774
"651",249802.6876916
"652",857636.45794679
"653",713097.540112751
"654",158201.219816293
"655",960894.017097841
"656",108624.040265924
"657",157339.813510684
"658",364004.612304499
"659",428049.977488388
"660",446161.803850351
"661",361039.727231197
"662",422152.765459316
"663",774950.105095374
"664",210920.341500798
"665",145281.680558368
"666",-14821.0168342292
"667",452630.7987218
"668",582735.155383138
"669",559521.280467047
"670",447385.41723363
"671",554294.548065362
"672",583355.720031442
"673",1202934.39014966
"674",440755.558667837
"675",403319.729573572
"676",802167.932900579
"677",1223808.39320236
"678",116570.029454085
"679",518560.065131484
"680",480856.801908403
"681",272121.314168079
"682",185683.054990602
"683",1249900.02626336
"684",564585.059238173
"685",419034.732315961
"686",730396.447594626
"687",412885.323339947
"688",219081.74730063
"689",651660.800415454
"690",384657.499922236
"691",447001.619721783
"692",1090800.1620469
"693",625273.140051608
"694",787382.32956466
"695",596940.037509607
"696",646943.370998191
"697",496792.144691201
"698",553361.639000034
"699",295729.562381979
"700",1593561.4894505
"701",733544.643538276
"702",1472785.00968283
"703",493747.11731259
"704",279622.782136681
"705",488810.746928398
"706",489457.587654631
"707",514652.575458786
"708",911168.32890227
"709",174283.952212603
"710",457463.07378547
"711",827147.273802647
"712",1000288.17169129
"713",736953.112446599
"714",414404.897342009
"715",571432.662134321
"716",716249.278218945
"717",199184.91918328
"718",389672.031518999
"719",296131.662061285
"720",506446.317051234
"721",974141.869924084
"722",740137.730043243
"723",687516.173567377
"724",508421.146322759
"725",933891.713966248
"726",414839.732465554
"727",436000.631350819
"728",65118.4185797289
"729",1250411.8562307
"730",551111.382819921
"731",535220.396931808
"732",449245.307885462
"733",772074.34255771
"734",1696993.43266947
"735",710538.585982303
"736",514194.332229824
"737",818828.088550901
"738",250287.33411102
"739",647344.087022182
"740",273103.538145697
"741",810906.670728312
"742",844340.69803119
"743",603121.690259317
"744",572290.522709269
"745",361563.383040564
"746",572745.863537297
"747",276389.027786478
"748",79883.7033352507
"749",570087.910422744
"750",537814.9217835
"751",314185.645442373
"752",1498526.72981878
"753",1066783.6204672
"754",366856.803842184
"755",895373.188135438
"756",163920.882720851
"757",631736.658278115
"758",806477.781112189
"759",580035.589540915
"760",572352.08862284
"761",512639.886470613
"762",255013.105917308
"763",510532.446236003
"764",69186.8784165415
"765",295044.033817177
"766",295044.033817177
"767",289687.228567084
"768",807024.976945122
"769",218601.070489285
"770",1242609.06933128
"771",628189.031793754
"772",1087855.4219884
"773",942142.695111464
"774",434800.965667788
"775",141158.63161062
"776",454395.435809402
"777",634196.068934688
"778",1002695.09160508
"779",590705.184587268
"780",233788.955065401
"781",467645.212936083
"782",575069.909087887
"783",407037.957320089
"784",155244.065447771
"785",137506.444096496
"786",435341.781323226
"787",503103.907966569
"788",525848.159083196
"789",267207.726178316
"790",733918.645259405
"791",328840.463233315
"792",813212.198173807
"793",1347253.35006952
"794",473992.069344955
"795",684125.540251899
"796",522195.068630579
"797",397097.077004669
"798",486813.711474419
"799",190214.709387255
"800",895173.577592108
"801",223882.316254593
"802",881366.463250697
"803",534618.074046355
"804",612680.04896572
"805",855181.862642548
"806",710566.056292194
"807",803665.265300527
"808",753117.94237113
"809",499166.438755171
"810",365336.528206434
"811",653820.30318215
"812",433560.561066307
"813",785698.978676117
"814",581463.101417492
"815",250075.316795071
"816",386698.777960788
"817",426329.369205599
"818",265898.916484316
"819",239385.617546771
"820",835488.410364575
"821",312268.6901732
"822",700125.692763018
"823",1067945.01744375
"824",595736.758652959
"825",811243.064304551
"826",408923.727507622
"827",267544.484911741
"828",560269.567513713
"829",647407.895630288
"830",241881.580329491
"831",723008.637783075
"832",153920.241117821
"833",293145.293330205
"834",275474.562476575
"835",850202.152627382
"836",499425.093968169
"837",388470.728909052
"838",796218.990880566
"839",427016.545402787
"840",684252.537054094
"841",429179.750995485
"842",1131354.36334731
"843",1985922.20458599
"844",275830.073331362
"845",774585.101216903
"846",795854.544659961
"847",790281.255359678
"848",364146.321540452
"849",1773256.07669816
"850",269183.296403647
"851",8558.90865141445
"852",430943.268585654
"853",260324.528995189
"854",292451.925152756
"855",512126.947447424
"856",503722.834773694
"857",304980.98068138
"858",511972.421374738
"859",245417.879622468
"860",857565.557939169
"861",534698.255938855
"862",148764.952609429
"863",553449.15600818
"864",396348.227907935
"865",282618.703039443
"866",971320.855457554
"867",379509.055830531
"868",248663.901686796
"869",918663.262332869
"870",436938.840807857
"871",599272.292052038
"872",334260.297313088
"873",232234.169364283
"874",412276.398756096
"875",444145.154146751
"876",892053.324666131
"877",325827.988972364
"878",932261.358109975
"879",786152.979054857
"880",1272322.93097778
"881",1009689.78797522
"882",328313.556620199
"883",346874.030362486
"884",726039.380306397
"885",369683.836206367
"886",183532.568972876
"887",202833.398728868
"888",606273.89031944
"889",516478.86583508
"890",414968.462884825
"891",311776.914981218
"892",378298.27709249
"893",250395.732232449
"894",414294.83750195
"895",596771.939106671
"896",767436.174219198
"897",418729.45401193
"898",326121.051501717
"899",261220.613420358
"900",413628.849541168
"901",443956.353392056
"902",632906.488628884
"903",165397.846704969
"904",249947.685427144
"905",694722.94853289
"906",241491.059775652
"907",463300.272169648
"908",379590.939355314
"909",932406.013644434
"910",273743.586609393
"911",405569.014002561
"912",547605.870137861
"913",248506.7816465
"914",308214.947616235
"915",92881.4734578964
"916",394188.551631025
"917",667153.309275807
"918",460433.078009391
"919",839932.554147284
"920",718532.860452118
"921",367438.098672481
"922",431864.928461693
"923",815101.899228111
"924",1321468.11114956
"925",544986.005943205
"926",201883.020042123
"927",522903.482177315
"928",714042.243845363
"929",276079.071544334
"930",262232.977634314
"931",1585482.85947141
"932",160331.284627266
"933",919344.610724887
"934",278194.463280843
"935",492065.457805681
"936",609104.102098765
"937",190912.757919445
"938",304341.845860289
"939",191966.71926663
"940",297312.359198982
"941",670112.986342933
"942",462536.710258789
"943",611427.603213711
"944",357840.442693768
"945",241413.225192092
"946",1019681.38495874
"947",119552.080514812
"948",194896.530528549
"949",263648.957786195
"950",566243.746177178
"951",591182.394240672
"952",690588.476553278
"953",217066.305900613
"954",390862.550857888
"955",853346.518547242
"956",131126.947393558
"957",647853.57591154
"958",244933.133686926
"959",525513.10379277
"960",688648.421795686
"961",893872.214909885
"962",849155.372928744
"963",316896.80959112
"964",288876.473711963
"965",420596.827044485
"966",630271.880003743
"967",605989.580261389
"968",564353.38237078
"969",791315.560758762
"970",722011.545619991
"971",652598.802976043
"972",426743.351961963
"973",224646.360384119
"974",822921.671979008
"975",592376.423732145
"976",553780.912039949
"977",864545.229408552
"978",497657.14425336
"979",450631.955616565
"980",327117.612420665
"981",689791.373938412
"982",617883.688141582
"983",442123.328977805
"984",447334.103143329
"985",242279.673349714
"986",375377.051971664
"987",395760.437997922
"988",267217.285103071
"989",729681.208223935
"990",293012.816482421
"991",298427.819124272
"992",833054.400421568
"993",1599764.30805467
"994",298064.494282383
"995",477385.857452457
"996",481456.478525951
"997",729186.588189705
"998",885728.398436402
"999",569182.086828841
"1000",658416.02617781
"1001",567318.120545493
"1002",516264.68075918
"1003",358548.721160477
"1004",1281604.34750066
"1005",335218.763439675
"1006",656475.916555346
"1007",684283.655674868
"1008",920399.451029342
"1009",838244.157803488
"1010",599287.068587772
"1011",686995.600511889
"1012",29271.1285892252
"1013",975278.435556341
"1014",461545.43282431
"1015",354229.648852524
"1016",717749.250881412
"1017",74309.7249709549
"1018",69109.4155773121
"1019",199216.54832202
"1020",449891.11603559
"1021",366286.548272811
"1022",660375.834709499
"1023",776049.73400082
"1024",772487.096899994
"1025",255733.091487378
"1026",88434.2287285115
"1027",810994.418410568
"1028",134345.144375536
"1029",398104.185668921
"1030",438727.849454913
"1031",653436.807001915
"1032",461503.700333457
"1033",309560.519727963
"1034",897205.860358762
"1035",501919.460374482
"1036",690421.785188783
"1037",754148.584098168
"1038",487658.572913618
"1039",236898.847765134
"1040",407079.636162674
"1041",709246.533700391
"1042",619654.354935968
"1043",39813.279395354
"1044",349556.215664357
"1045",280467.013004175
"1046",701427.304141173
"1047",526068.192925409
"1048",224913.186500786
"1049",188052.482049521
"1050",902056.998597099
"1051",514799.730833813
"1052",280215.092357064
"1053",521523.133364674
"1054",478473.362207296
"1055",292095.567988554
"1056",505008.636889685
"1057",826429.589104786
"1058",503781.739152645
"1059",770442.307426922
"1060",642769.346078618
"1061",667341.264838284
"1062",1350338.77532389
"1063",501020.058018059
"1064",219318.776707899
"1065",732713.853144344
"1066",312159.171714281
"1067",255624.44442572
"1068",457469.917720175
"1069",666762.481367523
"1070",644442.272097808
"1071",983306.021363559
"1072",271654.811768606
"1073",243741.788070453
"1074",207163.481915839
"1075",251422.531859352
"1076",912853.204604372
"1077",242467.280976996
"1078",864926.035537611
"1079",224943.366457497
"1080",185032.866469556
"1081",493791.590446895
"1082",293719.092442875
"1083",344114.981055892
"1084",373458.953682456
"1085",525635.993604898
"1086",232123.00019638
"1087",564759.857457943
"1088",630135.55425019
"1089",230892.390289526
"1090",404862.074264552
"1091",378669.238370622
"1092",296978.608251106
"1093",329108.30847341
"1094",533179.546737407
"1095",680822.828684263
"1096",524671.443592285
"1097",405230.30696036
"1098",152962.66815677
"1099",764898.450350229
"1100",107807.436949683
"1101",460571.547918275
"1102",293847.414992805
"1103",585431.739904008
"1104",549543.855362622
"1105",1674423.35058672
"1106",1128338.31312068
"1107",653447.749587686
"1108",345960.050484968
"1109",76803.9961391964
"1110",1056364.27479101
"1111",455064.61079164
"1112",438191.404775733
"1113",662844.014876783
"1114",742817.611126478
"1115",-21624.4976914219
"1116",564976.017437712
"1117",631173.056722453
"1118",292816.77511863
"1119",593830.649728739
"1120",1058384.29494037
"1121",1772553.99559638
"1122",550681.096302945
"1123",348493.665918607
"1124",730038.723198586
"1125",293578.729645991
"1126",925087.923055556
"1127",167707.897022845
"1128",350000.159041795
"1129",486879.673017997
"1130",685820.422540102
"1131",629196.679416992
"1132",598091.065546723
"1133",338605.500171755
"1134",482530.443920515
"1135",459962.933000996
"1136",204504.265510042
"1137",702301.333613262
"1138",737649.275002891
"1139",506314.272239357
"1140",655485.46833728
"1141",160907.358269859
"1142",566352.508857525
"1143",326378.420456003
"1144",446708.896021682
"1145",524049.644696308
"1146",1050203.80044576
"1147",327120.701553249
"1148",69431.5487601341
"1149",594594.810085848
"1150",564039.148858814
"1151",2505381.25853466
"1152",409936.630554566
"1153",395471.278137681
"1154",484765.328623064
"1155",224576.100306791
"1156",422555.800176104
"1157",607538.991936191
"1158",164840.696780631
"1159",967066.529304017
"1160",235963.931206759
"1161",361694.713236941
"1162",487339.868852961
"1163",908630.859763366
"1164",325437.634369663
"1165",103781.997818866
"1166",477129.651380954
"1167",298407.435250247
"1168",228920.578206267
"1169",195932.984554592
"1170",421715.020203046
"1171",676878.22586866
"1172",630471.237972369
"1173",361712.671568265
"1174",915000.079345482
"1175",607654.17177673
"1176",157112.960715426
"1177",1584878.9425382
"1178",538873.399084603
"1179",230798.524510433
"1180",281176.314255076
"1181",507593.063519439
"1182",542888.518915198
"1183",318635.217773788
"1184",156285.156653167
"1185",831211.666364403
"1186",845366.423599276
"1187",337189.20952378
"1188",416296.619367063
"1189",679307.125141034
"1190",244524.449881411
"1191",353915.193292198
"1192",719266.188655956
"1193",273606.260829626
"1194",487303.871843122
"1195",708347.061193744
"1196",325968.410663366
"1197",585770.013825163
"1198",725884.629500827
"1199",164789.372427629
"1200",537497.206677431
"1201",252934.152522765
"1202",784083.057104011
"1203",416750.686888383
"1204",78030.4088973921
"1205",353627.120206444
"1206",310183.734041398
"1207",847798.976658925
"1208",126150.482733335
"1209",698732.93097234
"1210",107610.233857998
"1211",850715.255829179
"1212",192694.109039297
"1213",338200.923964077
"1214",143754.173724675
"1215",801759.199538626
"1216",344937.320138945
"1217",316702.126291918
"1218",173352.885024547
"1219",577449.396443776
"1220",1138253.31534937
"1221",581675.942852884
"1222",520200.591554198
"1223",490053.731764452
"1224",493039.874246318
"1225",298025.447546226
"1226",368686.877864782
"1227",212741.556586053
"1228",409061.89513986
"1229",397038.160582028
"1230",913650.907338606
"1231",372947.462506756
"1232",528891.562032722
"1233",455433.72351217
"1234",317164.709670219
"1235",254386.509435671
"1236",215062.467553328
"1237",947720.552876105
"1238",872845.75551875
"1239",418578.333884129
"1240",1196700.08188202
"1241",1014297.89355933
"1242",167421.024033651
"1243",1239229.65220202
"1244",218384.628844709
"1245",281774.67461979
"1246",229983.278182505
"1247",277517.943364993
"1248",86108.9614177969
"1249",175203.751791032
"1250",242233.943441702
"1251",432700.181654382
"1252",400868.599967771
"1253",450216.071198995
"1254",402281.303205534
"1255",440156.349443152
"1256",335544.199078859
"1257",612461.28503956
"1258",329539.677594323
"1259",1012843.48204221
"1260",546677.667701492
"1261",556384.153216228
"1262",447078.159741301
"1263",74612.0432939616
"1264",571591.954494949
"1265",682561.213247097
"1266",2097390.25620375
"1267",2527155.76049036
"1268",243574.906974703
"1269",124015.182216685
"1270",750449.369027642
"1271",1215519.54668739
"1272",513538.386983877
"1273",244591.383389363
"1274",988811.924118524
"1275",561302.335704873
"1276",578341.971565587
"1277",291297.156882215
"1278",525744.709269086
"1279",242738.351305488
"1280",574648.103072174
"1281",601959.212995345
"1282",483160.154137293
"1283",132311.348596347
"1284",1007594.18035367
"1285",690862.837692334
"1286",431987.055642304
"1287",460828.795885144
"1288",601686.942833249
"1289",674782.280053674
"1290",450057.811182206
"1291",661522.723317017
"1292",359603.633160554
"1293",356324.4137299
"1294",453579.933503493
"1295",713264.129654321
"1296",393657.272231336
"1297",693535.340447145
"1298",53670.356018999
"1299",459973.857674801
"1300",357222.22651503
"1301",395969.775567204
"1302",604434.999682123
"1303",594531.200188708
"1304",610355.62419238
"1305",578172.861327207
"1306",578042.263923906
"1307",335044.616540875
"1308",587317.85156117
"1309",105368.930183172
"1310",336222.964803156
"1311",938820.78366124
"1312",279799.841666752
"1313",456299.75018466
"1314",679205.939880996
"1315",232725.221025136
"1316",293625.264160375
"1317",605815.45823459
"1318",405035.412326151
"1319",575361.220093975
"1320",1091406.30144038
"1321",437824.037848537
"1322",579016.28028762
"1323",266760.243718868
"1324",1278842.16239773
"1325",769589.695069548
"1326",795404.681489897
"1327",128446.148708041
"1328",550070.169444977
"1329",1046616.77530901
"1330",496049.991445124
"1331",1255492.52241589
"1332",468523.896702247
"1333",473884.116809371
"1334",352918.616842365
"1335",556615.166300426
"1336",412600.315861864
"1337",890805.839270319
"1338",181552.650115489
"1339",516160.868621923
"1340",594861.580033728
"1341",285431.359313681
"1342",645544.576945096
"1343",382713.52247009
"1344",658861.555869331
"1345",1232241.69319457
"1346",640359.859940388
"1347",535245.967214021
"1348",411482.199090199
"1349",324519.010011656
"1350",435765.472179565
